id,age,income,education,employment,credit_score,loan_amount,loan_term,has_default_history,region
1,25,35000,high_school,employed,650,5000,12,0,northeast
2,45,72000,masters,employed,720,15000,36,0,west
3,32,48000,bachelors,self_employed,680,8000,24,0,south
4,58,95000,phd,employed,780,25000,48,0,midwest
5,22,28000,high_school,unemployed,580,3000,12,1,northeast
6,41,62000,bachelors,employed,700,12000,36,0,west
7,35,55000,masters,self_employed,690,10000,24,0,south
8,50,85000,bachelors,employed,750,20000,48,0,midwest
9,28,42000,bachelors,employed,670,7000,24,0,northeast
10,38,68000,masters,employed,710,14000,36,0,west
11,55,120000,phd,employed,800,30000,60,0,south
12,24,30000,high_school,employed,620,4000,12,1,midwest
13,47,78000,masters,employed,740,18000,36,0,northeast
14,33,52000,bachelors,self_employed,685,9000,24,0,west
15,62,110000,phd,retired,790,28000,48,0,south
16,29,38000,bachelors,employed,660,6000,24,0,midwest
17,44,70000,masters,employed,715,16000,36,0,northeast
18,36,58000,bachelors,employed,695,11000,24,0,west
19,51,88000,masters,employed,760,22000,48,0,south
20,27,35000,high_school,employed,640,5500,12,0,midwest
21,40,65000,bachelors,self_employed,705,13000,36,0,northeast
22,53,92000,phd,employed,770,24000,48,0,west
23,31,46000,bachelors,employed,675,7500,24,0,south
24,48,80000,masters,employed,745,19000,36,0,midwest
25,23,25000,high_school,unemployed,560,2500,12,1,northeast
26,37,60000,bachelors,employed,698,11500,24,0,west
27,59,105000,phd,employed,785,27000,48,0,south
28,26,32000,bachelors,employed,645,5200,12,0,midwest
29,43,73000,masters,employed,725,17000,36,0,northeast
30,34,54000,bachelors,self_employed,688,9500,24,0,west
31,56,98000,phd,employed,775,26000,48,0,south
32,30,44000,bachelors,employed,672,7200,24,0,midwest
33,46,76000,masters,employed,735,17500,36,0,northeast
34,39,63000,bachelors,employed,702,12500,24,0,west
35,52,90000,masters,employed,765,23000,48,0,south
36,21,22000,high_school,employed,550,2000,12,1,midwest
37,42,68000,bachelors,self_employed,708,14500,36,0,northeast
38,61,115000,phd,retired,795,29000,48,0,west
39,28,40000,bachelors,employed,665,6500,24,0,south
40,49,82000,masters,employed,748,19500,36,0,midwest
41,35,56000,bachelors,employed,692,10500,24,0,northeast
42,54,94000,phd,employed,772,25000,48,0,west
43,32,47000,bachelors,employed,678,7800,24,0,south
44,45,74000,masters,employed,728,16500,36,0,midwest
45,38,61000,bachelors,self_employed,700,12200,24,0,northeast
46,57,100000,phd,employed,780,26500,48,0,west
47,25,33000,high_school,employed,635,4800,12,0,south
48,41,66000,bachelors,employed,706,13500,36,0,midwest
49,63,118000,phd,retired,798,29500,48,0,northeast
50,29,41000,bachelors,employed,668,6800,24,0,west
51,47,79000,masters,employed,742,18500,36,0,south
52,33,51000,bachelors,self_employed,683,9200,24,0,midwest
53,50,86000,masters,employed,755,21000,48,0,northeast
54,24,29000,high_school,employed,615,3500,12,1,west
55,44,71000,bachelors,employed,718,15500,36,0,south
56,36,57000,bachelors,employed,693,10800,24,0,midwest
57,58,102000,phd,employed,782,27500,48,0,northeast
58,27,36000,bachelors,employed,652,5800,12,0,west
59,40,64000,masters,self_employed,704,13200,36,0,south
60,55,96000,phd,employed,773,25500,48,0,midwest
61,31,45000,bachelors,employed,674,7400,24,0,northeast
62,48,81000,masters,employed,746,19200,36,0,west
63,34,53000,bachelors,employed,686,9400,24,0,south
64,51,89000,masters,employed,762,22500,48,0,midwest
65,22,26000,high_school,unemployed,570,2800,12,1,northeast
66,43,69000,bachelors,employed,712,14800,36,0,west
67,60,112000,phd,employed,792,28500,48,0,south
68,28,39000,bachelors,employed,663,6200,24,0,midwest
69,46,77000,masters,employed,738,18000,36,0,northeast
70,37,59000,bachelors,self_employed,697,11800,24,0,west
71,53,91000,phd,employed,768,23500,48,0,south
72,30,43000,bachelors,employed,670,7000,24,0,midwest
73,49,83000,masters,employed,750,20000,36,0,northeast
74,35,55000,bachelors,employed,690,10200,24,0,west
75,56,97000,phd,employed,777,26200,48,0,south
76,23,27000,high_school,employed,605,3200,12,1,midwest
77,42,67000,bachelors,self_employed,710,14200,36,0,northeast
78,62,116000,phd,retired,796,29200,48,0,west
79,29,42000,bachelors,employed,667,6600,24,0,south
80,45,75000,masters,employed,730,17200,36,0,midwest
81,38,62000,bachelors,employed,701,12800,24,0,northeast
82,52,93000,phd,employed,770,24500,48,0,west
83,32,48000,bachelors,employed,679,7600,24,0,south
84,47,78000,masters,employed,740,18200,36,0,midwest
85,36,58000,bachelors,self_employed,694,11200,24,0,northeast
86,59,108000,phd,employed,788,28000,48,0,west
87,26,34000,high_school,employed,642,5000,12,0,south
88,41,65000,bachelors,employed,707,13800,36,0,midwest
89,64,120000,phd,retired,800,30000,48,0,northeast
90,28,40000,bachelors,employed,664,6400,24,0,west
91,50,87000,masters,employed,758,21500,48,0,south
92,33,50000,bachelors,self_employed,682,9000,24,0,midwest
93,44,72000,masters,employed,720,16000,36,0,northeast
94,39,64000,bachelors,employed,703,12600,24,0,west
95,54,95000,phd,employed,774,25200,48,0,south
96,25,31000,high_school,employed,628,4200,12,0,midwest
97,46,76000,masters,employed,736,17800,36,0,northeast
98,57,101000,phd,employed,783,27200,48,0,west
99,31,46000,bachelors,employed,676,7300,24,0,south
100,48,80000,masters,employed,744,19000,36,0,midwest
